Units processed;Grab;R1 start;R1 stop;Pick;R2 start;R2 stop;End
48;0.14.29;0.14.36;0.15.11;0.15.12;0.15.32;0.16.02;0.16.12
49;0.15.33;0.15.40;0.16.15;0.16.15;0.16.32;0.17.02;0.17.13
50;0.16.35;0.16.42;0.17.17;0.17.19;0.17.39;0.18.09;0.18.20
51;0.17.41;0.17.49;0.18.24;0.18.25;0.18.43;0.19.13;0.19.21
52;0.18.45;0.18.52;0.19.27;0.19.27;0.19.42;0.20.12;0.20.20
53;0.19.46;0.19.52;0.20.27;0.20.29;0.20.43;0.21.13;0.21.26
54;0.20.46;0.20.52;0.21.27;0.21.27;0.21.42;0.22.12;0.22.26
55;0.21.44;0.21.51;0.22.26;0.22.31;0.22.47;0.23.17;0.23.30
56;0.22.51;0.23.01;0.23.36;0.23.39;0.23.58;0.24.28;0.24.37
57;0.24.00;0.24.09;0.24.44;0.24.46;0.25.00;0.25.30;0.25.37
58;0.25.01;0.25.05;0.25.40;0.25.43;0.25.58;0.26.28;0.26.38
59;0.26.01;0.26.06;0.26.41;0.26.43;0.26.57;0.27.27;0.27.37
60;0.26.59;0.27.04;0.27.39;0.27.40;0.27.55;0.28.25;0.28.33
61;0.27.58;0.28.03;0.28.38;0.28.40;0.28.57;0.29.27;0.29.37
62;0.28.59;0.29.05;0.29.40;0.29.40;0.29.58;0.30.28;0.30.39
63;0.30.00;0.30.04;0.30.39;0.30.43;0.31.00;0.31.30;0.31.42
64;0.31.02;0.31.08;0.31.43;0.31.45;0.32.07;0.32.37;0.32.48
65;0.32.23;0.32.31;0.33.06;0.33.07;0.33.23;0.33.53;0.34.05
66;0.33.25;0.33.31;0.34.06;0.34.08;0.34.36;0.35.06;0.35.14
67;0.00.22;0.00.29;0.01.04;0.01.05;0.01.21;0.01.51;0.01.57
68;0.01.23;0.01.28;0.02.03;0.02.04;0.02.19;0.02.49;0.03.02
69;0.02.21;0.02.27;0.03.02;0.03.05;0.03.24;0.03.54;0.04.04
70;0.03.25;0.03.30;0.04.05;0.04.07;0.04.22;0.04.52;0.05.01
71;0.04.24;0.04.30;0.05.05;0.05.08;0.05.22;0.05.52;0.05.58
72;0.05.24;0.05.31;0.06.06;0.06.06;0.06.18;0.06.48;0.06.57
73;0.06.20;0.06.28;0.07.03;0.07.05;0.07.17;0.07.47;0.07.56
74;0.07.19;0.07.24;0.07.59;0.08.00;0.08.14;0.08.44;0.08.52
75;0.08.16;0.08.22;0.08.57;0.08.57;0.09.08;0.09.38;0.09.47
76;0.09.10;0.09.14;0.09.49;0.09.50;0.10.08;0.10.38;0.10.46
77;0.10.09;0.10.15;0.10.50;0.10.51;0.11.07;0.11.37;0.11.45
78;0.11.09;0.11.14;0.11.49;0.11.50;0.12.04;0.12.34;0.12.43
79;0.12.06;0.12.13;0.12.48;0.12.48;0.13.01;0.13.31;0.13.45
80;0.13.04;0.13.09;0.13.44;0.13.48;0.14.05;0.14.35;0.14.47
81;0.14.08;0.14.14;0.14.49;0.14.50;0.15.04;0.15.34;0.15.45
82;0.15.06;0.15.16;0.15.51;0.15.51;0.16.05;0.16.35;0.16.45
83;0.16.06;0.16.12;0.16.47;0.16.48;0.17.02;0.17.32;0.17.41
84;0.17.04;0.17.09;0.17.44;0.17.47;0.18.01;0.18.31;0.18.43
85;0.18.06;0.18.14;0.18.49;0.18.50;0.19.09;0.19.39;0.19.49
86;0.19.16;0.19.24;0.19.59;0.20.03;0.20.22;0.20.52;0.21.05
87;0.20.28;0.20.34;0.21.09;0.21.11;0.21.28;0.21.58;0.22.09
88;0.21.31;0.21.38;0.22.13;0.22.13;0.22.31;0.23.01;0.23.12
89;0.22.36;0.22.42;0.23.17;0.23.17;0.23.34;0.24.04;0.24.17
90;0.23.40;0.23.45;0.24.20;0.24.21;0.24.35;0.25.05;0.25.21
91;0.24.39;0.24.50;0.25.25;0.25.26;0.25.41;0.26.11;0.26.23
92;0.25.45;0.25.51;0.26.26;0.26.27;0.26.44;0.27.14;0.27.23
93;0.27.01;0.27.06;0.27.41;0.27.41;0.27.56;0.28.26;0.28.39
94;0.28.40;0.28.46;0.29.21;0.29.22;0.29.37;0.30.07;0.30.19
95;0.30.20;0.30.25;0.31.00;0.31.00;0.31.12;0.31.42;0.31.51
96;0.31.14;0.31.19;0.31.54;0.31.57;0.32.08;0.32.38;0.32.48
97;0.32.10;0.32.15;0.32.50;0.32.52;0.33.08;0.33.38;0.33.46
98;0.33.09;0.33.15;0.33.50;0.33.50;0.34.03;0.34.33;0.34.39
99;0.34.04;0.34.12;0.34.47;0.34.47;0.35.00;0.35.30;0.35.40
100;0.35.02;0.35.09;0.35.44;0.35.44;0.35.58;0.36.28;0.36.38
101;0.36.02;0.36.08;0.36.43;0.36.43;0.36.57;0.37.27;0.37.39
102;0.36.59;0.37.05;0.37.40;0.37.21;0.38.51;0.39.21;0.39.36
103;0.38.54;0.39.01;0.39.36;0.40.11;0.40.24;0.40.54;0.41.03
104;0.40.26;0.40.32;0.41.07;0.41.08;0.41.21;0.41.51;0.41.57
105;0.41.22;0.41.28;0.42.03;0.42.04;0.42.15;0.42.45;0.42.53
106;0.42.16;0.42.24;0.42.59;0.43.00;0.43.12;0.43.42;0.43.52
107;0.43.14;0.43.20;0.43.55;0.43.56;0.44.10;0.44.40;0.44.50
108;0.44.11;0.44.16;0.44.51;0.44.54;0.45.08;0.45.38;0.45.45
109;0.45.09;0.45.16;0.45.51;0.45.54;0.46.08;0.46.38;0.46.47
110;0.46.10;0.46.16;0.46.51;0.46.52;0.47.47;0.48.17;0.48.52
111;0.47.11;0.47.19;0.47.54;0.48.33;0.48.44;0.49.14;0.49.22
112;0.48.46;0.48.52;0.49.27;0.49.29;0.49.41;0.50.11;0.50.22
113;0.49.45;0.49.51;0.50.26;0.50.26;0.50.38;0.51.08;0.51.19
114;0.50.41;0.50.49;0.51.24;0.51.27;0.51.46;0.52.16;0.52.50
115;0.00.55;0.01.03;0.01.38;0.01.51;0.02.01;0.02.31;0.02.40
116;0.02.02;0.02.08;0.02.43;0.02.43;0.02.55;0.03.25;0.03.31
117;0.02.57;0.03.04;0.03.39;0.03.40;0.03.49;0.04.19;0.04.27
118;0.03.52;0.03.58;0.04.33;0.04.34;0.04.46;0.05.16;0.05.28
119;0.04.50;0.04.56;0.05.31;0.05.33;0.05.44;0.06.14;0.06.26
120;0.05.48;0.05.54;0.06.29;0.06.36;0.06.51;0.07.21;0.07.31
121;0.06.56;0.07.05;0.07.40;0.07.41;0.07.54;0.08.24;0.08.30
122;0.07.58;0.08.07;0.08.42;0.08.42;0.08.55;0.09.25;0.09.40
123;0.08.59;0.09.03;0.09.38;0.09.41;0.09.55;0.10.25;0.10.34
124;0.09.57;0.10.03;0.10.38;0.10.39;0.10.51;0.11.21;0.11.34
125;0.10.54;0.11.00;0.11.35;0.11.36;0.11.49;0.12.19;0.12.28
126;0.11.52;0.11.59;0.12.34;0.12.34;0.12.47;0.13.17;0.13.27
127;0.12.52;0.12.58;0.13.33;0.13.35;0.13.47;0.14.17;0.14.33
128;0.13.56;0.14.03;0.14.38;0.14.39;0.14.51;0.15.21;0.15.31
129;0.14.53;0.15.03;0.15.38;0.15.41;0.15.54;0.16.24;0.16.35
130;0.16.14;0.16.21;0.16.56;0.16.58;0.17.12;0.17.42;0.17.48
131;0.17.17;0.17.23;0.17.58;0.18.00;0.18.12;0.18.42;0.18.52
132;0.18.17;0.18.25;0.19.00;0.19.06;0.19.23;0.19.53;0.20.02
133;0.19.27;0.19.33;0.20.08;0.20.09;0.20.23;0.20.53;0.21.03
134;0.20.28;0.20.39;0.21.14;0.21.16;0.21.30;0.22.00;0.22.11
